Designator,Mid X,Mid Y,Rotation,Layer
C1,2.54mm,5.08mm,270,T
C2,10.16mm,-17.145mm,0,T
C3,10.795mm,-14.605mm,0,T
C4,10.795mm,-8.255mm,180,T
C5,15.875mm,11.43mm,90,T
C6,20.32mm,5.08mm,180,T
C7,-20.32mm,4.445mm,180,T
C8,20.32mm,8.89mm,180,T
C9,-13.335mm,8.255mm,0,T
C10,-13.335mm,6.35mm,180,T
C11,-15.113mm,11.811mm,90,T
C12,-18.415mm,11.811mm,90,T
C13,-11.811mm,11.811mm,90,T
C14,-8.89mm,-17.78mm,0,T
C15,-10.16mm,-13.335mm,270,T
C16,-12.065mm,-17.78mm,90,T
C17,-6.35mm,-13.335mm,90,T
R1,17.145mm,-11.43mm,180,T
R2,0mm,21.59mm,0,T
R3,-19.05mm,-10.16mm,270,T
R4,-2.54mm,0mm,270,T
R5,2.54mm,0mm,270,T
R6,-0.635mm,9.525mm,270,T
R7,-2.54mm,9.525mm,270,T
R8,7.62mm,-12.065mm,270,T
R9,13.97mm,11.43mm,270,T
R10,17.78mm,11.43mm,90,T
R11,-10.16mm,0mm,90,T
R12,20.32mm,6.985mm,180,T
R13,9.906mm,1.651mm,270,T
R14,17.78mm,-1.27mm,270,T
R15,9.906mm,8.636mm,90,T
R16,11.43mm,-0.635mm,0,T
R17,15.875mm,-1.27mm,270,T
R18,8.255mm,8.636mm,90,T
R19,-13.589mm,11.811mm,90,T
R20,-16.891mm,11.811mm,90,T
R21,-10.287mm,11.811mm,90,T
R22,-8.89mm,-15.875mm,180,T
R23,-12.065mm,-12.7mm,90,T
R24,-8.89mm,-19.685mm,0,T
R25,-8.255mm,-13.335mm,90,T
U1,-0.635mm,5.715mm,0,T
U2,10.795mm,-11.43mm,90,T
U3,14.6mm,5.03mm,0,T
U4,-14.605mm,1.27mm,270,T
